Tajik,Persian,Prediction,Levenshtein_ratio
муфтигӣ,مفتی‌گی,مفت‌یگی,0.8571428571428572
қурби бечун аст ақлатро ба ту,قرب بی‌چونست عقلت را به تو,قرب بی‌چونست عقلت را به تو,1.0
назокат,نزاکت,نظاکت,0.8
кишан,کیش‌ن,کشن,0.75
рутубатпазир,رطوبت‌پذیر,رطوبت‌پذیر,1.0
капидан,کپیدن,کوپیدن,0.9090909090909091
шаробкаш,شراب‌کش,شراب‌کش,1.0
бад-ӯ ҳар чӣ кардӣ ба ҷойи ман аст,بدو هرچه کردی به جای منست,بدو هر چه کردی به جای منست,0.9803921568627451
к-он фироқ орад яқин дар оқибат,کان فراق آرد یقین در عاقبت,کان فراق آرد یقین در عاقبت,1.0
гоҳ бар хоке набишта ҳоли хвад,گاه بر خاکی نبشته حال خود,گاه بر خاکی نبشته حال خود,1.0
гӯсфандони ҳавосатро бирон,گوسفندان حواست را بران,گوسفندان حواست را بران,1.0
нафар захмӣ шуданд,نفر زخمی شدند,نفر زخمی‌شدند,0.9230769230769231
сараш гашт аз андешаи дил гарон,سرش گشت از اندیشهٔ دل گران,سرش گشت از عندیشهٔ دل گران,0.9615384615384616
то бибандам хидмататро ман камар,تا ببندم خدمتت را من کمر,تا ببندم خدمت را من کمر,0.9787234042553191
миёндард,میان‌درد,میان‌درد,1.0
бемустасно,بی‌مستثنا,بی‌مستسنا,0.8888888888888888
сарсарӣ,سر‌سری,سر‌سری,1.0
аршад,ارشد,ارشد,1.0
шуд ҳақиру хор дар дидори ту,شد حقیر و خوار در دیدار تو,شد حقیر و خوار در دیدار تو,1.0
ба ҳар куҳ-бар абре забар соядор,به هر که بر ابری ز بر سایه دار,به هر که بر ابری زبر سایدار,0.9473684210526316
аммо ихтилофҳои ҳамешагӣ раванди музокиротро ба кундӣ пеш бурд,اما اختلاف‌های همیشگی روند مذاکرات را به کندی پیش‌برد,اما اختلاف‌های همیشگی روند مذاکرات را به کندی پیش برد,0.9811320754716981
азпоафтода,از‌پاافتاده,ازپاا‌افتاده,0.8695652173913043
то бувад к-аз лутфи он ваъдай ҳасан,تا‌بود کز لطف آن وعدهٔ حسن,تا‌بود کز لطف آن وعدهٔ حسن,1.0
ки бошад қавӣ бо сипоҳе бузург,که باشد قوی با سپاهی بزرگ,که باشد قوی با سپاهی بزرگ,1.0
убра,ابره,عبره,0.75
эй тамаъ дар баста дар як ҷой сахт,‌ای طمع در بسته در یک جای سخت,ای تمع در بسته در یک جای سخت,0.9473684210526316
асли оби нутфа испед асту хваш,اصل آب نطفه اسپیدست و خوش,اصل آب نطفه اسپیدست و خوش,1.0
в-ар ба хоб оем мастони ваем,ور به خواب آییم مستان وییم,ور بخواب آییم مستان ویم,0.9387755102040817
ҳамеша пасаш тохтан сохта,همیشه پسش تاختن ساخته,همیشه پسش تاختن ساخته,1.0
манбале не к-ӯ бувад худ баргҷӯ,منبلی نی کو‌بود خود برگ‌جو,منبلی نی کو‌بود خود بر گجو,0.9615384615384616
уқбо,عقبی,اقبا,0.5
мегурезад дар сари сармасти худ,می‌گریزد در سر سرمست خود,می‌گریزد در سر سرمست خود,1.0
боз аз ҳайвон суйи инсонияш,باز از حیوان سوی انسانیش,باز از حیوان سوی انسانیش,1.0
тибқи қавонини покистон хонаводаи мақтул метавонад қотилро бибахшад,طبق قوانین پاکستان خانواده مقتول می‌تواند قاتل را ببخشد,تبق قوانین پاکستان خانواده مقطووان می‌تواند قاتل را ببخشد,0.9285714285714286
к-андар ӯ шӯру ҷунуни нав бизод,کاندرو شور و جنونی نو بزاد,کاندرو شور و جنون نو بزاد,0.9803921568627451
на ганҷат бимонад на буму на бар,نه گنجت بماند نه بوم و نه بر,نه گنجت بماند نه بوم و نه بر,1.0
соҳибкалом,صاحب‌کلام,صاحب‌کلام,1.0
шафтолузор,شفتالو‌زار,شفتالوزار,0.9473684210526316
зарардида,ضرر‌دیده,زرر‌دیده,0.875
чунин гӯяд он к-ӯ зи доно гурӯҳ,چنین گوید آن کاو ز دانا گروه,چنین گوید آنکو ز دانا گروه,0.962962962962963
на шоҳи ҷаҳонро биёзурдаам,نه شاه جهان را بیازرده ام,نه شاه جهان را بیاضرده‌ام,0.92
пешу пас кам бинад он мафтуни ҷадд,پیش و پس کم بیند آن مفتون خد,پیش و پس کم بیند آن مفتون جد,0.9642857142857143
кист бар пуштат фурӯ хуфта ҳила,کیست بر پشتت فرو خفته هله,کیست بر پشتت فرو خفته هله,1.0
ӯ бихоҳад гуфт некам ё хвашам,او بخواهد گفت نیکم یا خوشم,او بخواهد گفت نیکم یا خوشم,1.0
пазонидан,پزان‌دن,پ‌زاندن,0.8571428571428572
якошёна,یک‌آشیانه,یکاشیانه,0.8235294117647058
ғӯтавар,غو‌تهور,غوته‌ور,0.8571428571428572
пайравона,پیروانه,پیروانه,1.0
буд чангӣ — мутрибе бо карру фар,‌بود چنگی مطربی با کر و فر,بود چنگی مطربی با کر و فر,0.9803921568627451
гуфт ҳотиф нест бозомад ба хеш,گفت هاتف نیست باز آمد به خویش,گفت حاطف نیست بازامد به خویش,0.8771929824561404
боадабона,باادب‌انه,با‌ادبانه,0.8888888888888888
шаҳи нимрӯз аст фарзанди сом,شه نیمروزست فرزند سام,شه نیم روزست فرزند سام,0.9767441860465116
