tj,pers
аамм,اعم
абавият,ابویت
абавӣ,ابوی
абавон,ابوان
абад,ابد
абада,عبده
абадан,ابدا
абадият,ابدیت
абадӣ,ابدی
абадӯддаҳр,ابدالدهر
абадӯлобидин,ابدالآبدین
абар,ابر
абарқӯдрат,ابرقدرت
абарқӯдратӣ,ابرقدرتی
абармард,ابرمرد
абас,عبث
аббос,عباس
аббосӣ,عباسی
абвоб,ابواب
абғор,ابگار
абғорӣ,ابگاری
абд,عبد
абдол,ابدال
абе,ابی
абёт,ابیات
абзор,ابزار
абир,عبیر
абироганд,عبیرآگند
абқарӣ,عبقری
аблағ,ابلغ
аблақ,ابلق
аблаҳ,ابله
аблаҳӣ,ابلهی
аблаҳона,ابلهانه
абно,ابنا
або,ابا
або,عبا
абобил,ابابیل
абр,ابر
абра,ابره
абрақ,ابرق
абрас,ابرص
абраш,ابرش
абрешимӣ,ابریشمی
абрӣ,ابری
абрноқ,ابرناک
абрноқӣ,ابرناکی
аброр,ابرار
абрӯқӯшода,ابروکشاده
абрӯқӯшодағӣ,ابروکشادگی
абрӯфарох,ابروفراخ
абрӯчинақ,ابروچینک
абсорбсия,ابساربسیه
абстрақт,ابسترکت
абстрақтсионизм,ابسترکتسیانزم
абстрақтсионист,ابسترکتسیانیست
абстрақтсия,ابسترکتسیه
абстрақтӣ,ابسترکتی
абтар,ابتر
абӯл,لابو
абӯлбашар,ابوالبشر
абӯлҳавл,ابوالهول
абӯс,عبوس
абхозӣ,ابخازی
абҳар,عبهر
абҳарӣ,عبهری
абҷад,ابجد
абҷадхон,اجدخوان
абъад,ابعد
абъод,ابعاد
абяз,ابیض
авастоӣ,اوستائی
авғӯст,اوگست
авғӯстӣ,اوگستی
авд,عود
авзоъ,اوضاع
авиапочта,اوئهپاچته
авиатсионӣ,اوئتسیانی
авиатсия,اوئتسیه
авис,عویص
авитаминоз,اویتمیناز
авқот,اوقات
авқоф,اوقاف
авл,عول
авлавият,اولویت
авлиё,اولیا
авло,اولا
авлод,اولاد
авлодӣ,اولادی
авоқиб,عواقب
авом,عوام
авомона,عوامانه
авомфиребӣ,عوامفریبی
авомфиребона,عوامفریبانه
авон,عوان
авора,اواره
авориз,عوارض
авосит,اواسط
авотиф,عواطف
авохир,اواخر
авранд,اورند
аврат,عورت
авроқ,اوراق
аврӯпоидӯхт,اوروپایدوخت
авсат,اوسط
автоғенӣ,اوتاگینی
автоматонидан,اوتامتانیدن
автоматчӣ,اوتامتچی
автомобил,اوتامابیل
автомобилрон,اوتامابیلران
автомобилронӣ,اوتامابیلرانی
автомобилсозӣ,اوتامابیلسازی
авторӯчқа,اوتاروچکه
автосистерна,اوتاسیستیرنه
авӯл,اول
авф,عوف
авҷ,اوج
ағар,اگر
ағарчи,اگرچه
ағент,اگینت
ағентӣ,اگینتی
ағломерат,اگلامیرت
ағломератсия,اگلامیرتسیه
ағноститсизм,اگناستیتسیزم
ағробиолоғия,اگرابئالاگیه
ағробиолоғӣ,اگرابئالاگی
ағротехниқа,اگراتخنیکه
ағротехниқӣ,اگراتخنیکی
ағрофизиқа,اگرافیزیکه
ағрохимия,اگراخیمیه
ағарр,اغر
ағба,اغبه
ағбар,اغبر
ағбарӣ,اغبری
ағёр,اغیار
ағзия,اغزیه
ағлаб,اغلب
ағлот,اغلاط
ағниё,اغنیا
ағолӯқ,اغالق
ағонисаро,اغانیسرا
ағонӣ,اغانی
адд,عد
адаб,ادب
адабиёт,ادبیات
адабӣ,ادبی
адабсарой,یادبسرا
адавот,ادوات
адад,عدد
ададӣ,عددی
адам,عدم
адас,عدس
адасӣ,عدسی
адвиёт,ادویات
адвия,ادویه
адвияҷот,ادویجات
адвоқат,ادواکت
адвоқатӣ,ادواکتی
адвор,ادوار
аддоӣ,ادای
адён,ادیان
адиб,ادیب
адибона,ادیبانه
адил,عدیل
адим,عدیم
адир,ادیر
адқан,ادکن
адл,عدل
адлия,عدلیه
адлӣ,عدلی
адн,عدن
адно,ادنی
адо,ادا
адоват,عداوت
адоватхоҳ,عداوتخواه
адоватҷӯй,یعداوتجو
адолат,عدالت
адолатхоҳ,عدالتخواه
