tj,pers
Дувумин даври ин интихобот ҳам хурдодмоҳ баргузор шуд,دومین دور این انتخابات هم خرداد ماه برگزار شد
Ӯ аз,او از
нақши истисноии артиши Бритониё,نقش استثنایی ارتش بریتانیا
дар ин амалиёт тамҷид кард,در این عملیات تمجید کرد
аз Афғонистон хориҷ хоҳад кард,از افغانستان خارج خواهد کرد
"килуметрӣ то Исломободро бо худрав, комиюн ва мутур хоҳанд рафт",کیلومتری تا اسلام‌آباد را با خودرو ، کامیون و موتور خواهند رفت
Чандин гурӯҳи мӯътариз дар интернет шакл гирифтааст,چندین گروه معترض در اینترنت شکل گرفته است
Рӯзи якшанбе ҳудуди,روز یکشنبه حدود
"Шумо Келн ҳастед, инҷо ҷои нозиҳо нест",شما کلن هستید ، اینجا جای نازی‌ها نیست
ширкат карданд,شرکت کردند
СИКО,سیکا
Оқои Камерон ҷавонтарин нахуствазир аз соли,آقای کامرون جوان ترین نخست‌وزیر از سال
токунун аст,تاکنون است
Тони Блер ҳангоми расидан ба нахуствазирӣ дар соли,تونی بلر هنگام رسیدن به نخست وزیری در سال
шаш моҳ бузургтар буд,شش ماه بزرگتر بود
Созмони Ҷаҳонии Беҳдошт мегӯяд,سازمان جهانی بهداشت می‌گوید
нафар аз замони шуюъи эбуло ҷони худро аз даст додаанд,نفر از زمان شیوع ابولا جان خود را از دست داده‌اند
Бештари ин афрод сокини ғарби Офриқо буданд,بیشتر این افراد ساکن غرب آفریقا بودند
Ҷанги истиқлоли Банглодеш дар соли,جنگ استقلال بنگلادش در سال
Даҳҳо нафар ба табаъият аз ӯ дар майдони Тақсим истоданд,ده‌ها نفر به تبعیت از او در میدان تقسیم ایستادند
Оқои Башир дар бахши дигар аз суханонаш гуфт,آقای بشیر در بخش دیگری از سخنانش گفت
Мардуми Тунис имрӯз,مردم تونس امروز
дар аввалин интихоботи раёсати ҷумҳурии он кишвар аз замони,در اولین انتخابات ریاست جمهوری آن کشور از زمان
баҳори арабӣ,بهار عربی
дар соли,در سال
ширкат мекунанд,شرکت می‌کنند
"Оқои Меҳройин таъкид кард, ки масмумияти донишомӯзон ношӣ аз",آقای مهرآیین تاکید کرد که مسمومیت دانشآموزان ناشی از
сампошии амдӣ нест,سمپاشی عمدی نیست
ва саломати духтарон ҳам ҷойи нигаронӣ надорад,و سلامت دختران هم جای نگرانی ندارد
Оқои Масҷидҷомеъӣ дар ин интихобот бо касби,آقای مسجدجامعی در این انتخابات با کسب
ҳазору,هزار و
Нахустин моҳгирифтагии комили соли,نخستین ماه گرفتگی کامل سال
тавофуқи пойдори сиёсӣ,توافق پایدار سیاسی
кумак мекунад,کمک می‌کند
эълом кард,اعلام کرد
"Оқои Ҷонсун нагуфт, ки кадом гурӯҳ аз беш аз",آقای جانسون نگفت که کدام گروه از بیش از
маркази федерол шоҳиди ташдиди тадобири амниятӣ хоҳанд буд,مرکز فدرال شاهد تشدید تدابیر امنیتی خواهند بود
ҳам занони саъудӣ ва ҳам занони хориҷӣ,هم زنان سعودی و هم زنان خارجی
Гурӯҳи,گروه
Давлати исломӣ,دولت اسلامی
Ширкаткунандагон дар ин мусобиқа бояд,شرکت‌کنندگان در این مسابقه باید
ҳазор рубл барои ширкат дар он пардохт кунанд,هزار روبل برای شرکت در آن پرداخت کنند
баъзе масойилро рӯшан кунанд,بعضی مسایل را روشن کنند
Олмон дархости тамдиди воми Юнонро рад кард ва гуфт ин пешниҳодро,آلمان درخواست تمدید وام یونان را رد کرد و گفت این پیشنهاد را
қобили таваҷҷуҳ,قابل توجه
намедонад,نمی‌داند
Ҳамчунин дар соли,همچنین در سال
аз ҳар панҷ қурбонии қатл дар саросари ҷаҳон як нафар кӯдак будааст,از هر پنج قربانی قتل در سراسر جهان ، یک نفر کودک بوده است
Дар соли,در سال
Ӯ Доъишро таҳдиде барои Омрико тавсиф кард,او داعش را تهدیدی برای آمریکا توصیف کرد
"Агар касе Омрикоро таҳдид кунад, ҷойи амне нахоҳад ёфт",اگر کسی آمریکا را تهدید کند ، جای امنی نخواهد یافت
Ин тонкерҳо дар масири роҳи миёни Кобул ва Парвон дар наздикии,این تانکرها در مسیر راه میان کابل و پروان در نزدیکی
Багром,بگرام
мунфаҷир шудаанд,منفجر‌شده‌اند
"Ричард Вармо, сафири Омрико дар Ҳинд гуфт",ریچارد ورما سفیر آمریکا در هند گفت
Ориел Шорун дар соли,آریل شارون در سال
Ҷамъияти ин кишвар камтар аз ним миллиюн нафар аст,جمعیت این کشور کمتر از نیم میلیون نفر است
килуметр бо қудрати тахриби боло мунҳадим мекунад,کیلومتر با قدرت تخریب بالا منهدم می‌کند
"Муҳоҷимон оқои Хонро дар манзилаш, воқеъ дар Кортаи",مهاجمان ، آقای خان را در منزلش واقع در کارته
"дар ғарби Кобул, аз пой дароварданд",در غرب کابل ، از پای در آوردند
"Истивен Ҳорпер, нахуствазири Конодо, гуфт, ки кишвар",استیون هارپر نخست‌وزیر کانادا گفت که کشور
аз ин хушунат маръуб нахоҳад шуд,از این خشونت مرعوب نخواهد شد
Хонум Эспир дар соли,خانم اسپیر در سال
Бар асоси гузоришҳои дарёфтӣ баргузории кунсертҳо,براساس گزارش‌های دریافتی برگزاری کنسرت‌ها
ҷашнҳои хиёбонӣ,جشن‌های خیابانی
барпоии намоишгоҳ ва ҳамчунин қарор додани,برپایی نمایشگاهها و همچنین قرار دادن
Давлати Афғонистон мегӯяд ҳадаф аз баргузории ин иҷлос,دولت افغانستان می‌گوید هدف از برگزاری این اجلاس
Аз замони истиқлоли ду кишвари Ҳинд ва Покистон дар соли,از زمان استقلال دو کشور هند و پاکستان در سال
"Ширкат дар интихобот барои касоне, ки",شرکت در انتخابات برای کسانی که
"сол син доранд, дар Бразил иҷборӣ аст",سال سن دارند ، در برزیل اجباری است
Дар ин мубодила даҳ чатрбози асири русӣ дар муқобили,در این مبادله ، ده چترباز اسیر روسی در مقابل
сарбози укройнӣ озод шуданд,سرباز اوکراینی آزاد شدند
Лукзомбург кишваре кучак бо ҷамъияте болиғ бар,لوکزامبورگ کشوری کوچک با جمعیتی بالغ بر
ҳазор нафар аст,هزار نفر است
Дороиҳои бонкҳо ва соири муассисоти молии ин кишвар ба ҳудуди,دارایی‌های بانک‌ها و سایر موسسات مالی این کشور به حدود
баробари даромади миллии кишвар болиғ мешавад,برابر درآمد ملی کشور بالغ می‌شود
Раъйгирии рӯзи якшанбе барои интихоби,رای‌گیری روز یکشنبه برای انتخاب
узви Маҷлиси Муассион дар Тунис баргузор шуд,عضو مجلس موسسان در تونس برگزار شد
